text,label
"Ground is shaking violently right now","earthquake"
"Everything started vibrating suddenly","earthquake"
"I felt a strong tremor under my feet","earthquake"
"Buildings are swaying and people are panicking","earthquake"
"Earthquake just hit our area","earthquake"
"Objects are falling from shelves due to shaking","earthquake"
"Walls are cracking after continuous tremors","earthquake"
"Loud rumbling sound followed by shaking","earthquake"
"Fan and lights are swinging heavily","earthquake"
"Sudden jolt woke everyone up","earthquake"
"People ran outside after feeling tremors","earthquake"
"Strong shaking for a few seconds","earthquake"
"Ground movement caused panic everywhere","earthquake"
"Windows rattling continuously","earthquake"
"Multiple tremors felt in short time","earthquake"
"Furniture moved on its own","earthquake"
"Balcony shaking noticeably","earthquake"
"Building is trembling continuously","earthquake"
"Quick jerks followed by strong shaking","earthquake"
"Unstable ground movement observed","earthquake"
"Ceiling fan swinging rapidly","earthquake"
"Doors shaking violently","earthquake"
"Strong quake reported nearby","earthquake"
"Shaking disrupted electricity","earthquake"
"People screaming and running outside","earthquake"
"Cracks forming on the road","earthquake"
"Earth shaking lasted several seconds","earthquake"
"Entire building felt unstable","earthquake"
"Tremors felt across the city","earthquake"
"Ground shaking created chaos","earthquake"
"Minor tremor felt just now","earthquake"
"Slight shaking but noticeable","earthquake"
"Desk started moving slightly","earthquake"
"Light vibrations felt indoors","earthquake"
"Quick shaking stopped suddenly","earthquake"
"Low intensity tremor observed","earthquake"
"Building slightly swayed","earthquake"
"Objects shaking gently","earthquake"
"Short vibration under feet","earthquake"
"Mild tremor detected","earthquake"
"Repeated light tremors","earthquake"
"Ground vibration for a moment","earthquake"
"People confused due to shaking","earthquake"
"Unexpected tremor hit area","earthquake"
"Minor cracks seen in wall","earthquake"
"Light fixtures shaking slowly","earthquake"
"Floor vibration felt briefly","earthquake"
"Tremor felt in office","earthquake"
"Shaking caused slight panic","earthquake"
"Everything returned to normal after tremor","earthquake"

"Fire broke out in the kitchen","fire"
"Heavy smoke coming from the building","fire"
"Flames visible from the windows","fire"
"Electrical short circuit caused fire","fire"
"Fire spreading rapidly","fire"
"Burning smell everywhere","fire"
"Thick smoke in corridor","fire"
"People evacuating due to fire","fire"
"Fire alarm ringing loudly","fire"
"Kitchen caught fire suddenly","fire"
"Flames rising high","fire"
"Black smoke visible from distance","fire"
"Firefighters called urgently","fire"
"Fire engulfed entire shop","fire"
"Burning debris falling","fire"
"Extreme heat from fire nearby","fire"
"Gas leak led to fire","fire"
"Smoke covering entire area","fire"
"Fire spreading to nearby houses","fire"
"Flames coming out of roof","fire"
"Major fire accident reported","fire"
"People trapped due to fire","fire"
"Explosion caused fire outbreak","fire"
"Smoke causing breathing issues","fire"
"Emergency evacuation due to fire","fire"
"Fire damaging everything","fire"
"Burning flames everywhere","fire"
"Fire in residential building","fire"
"Smoke alarms going off","fire"
"Flames uncontrollable","fire"
"Small fire in corner of room","fire"
"Minor flames seen","fire"
"Smoke but no visible flames yet","fire"
"Burning smell from wiring","fire"
"Sparks causing small fire","fire"
"Fire detected early","fire"
"Light smoke noticed","fire"
"Small ignition near socket","fire"
"Minimal fire damage","fire"
"Fire contained quickly","fire"
"Low intensity fire observed","fire"
"Small smoke cloud forming","fire"
